Sentença	Id	Index	Granularidade	Documento
Só porque a tela é maior que a de um celular?	28	3	0	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
Isso não justifica o preço.	28	4	0	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
27	28	-1	1	De onde a samsung derivou esse preço de produto ? Tudo bem que o mercado de tablets entrou em colapso há muito tempo , mas existem bons concorrentes no mercado oferecendo um preço justo . Trata-se de especificações de hardware muito modestas , de dispositivos básicos , mas está sendo vendido pelo preço de um intermediário premium como um celular Moto X4 , de última geração . Só porque a tela é maior que a de um celular ? Isso não justifica o preço .
REALMENTE SUBSTITUI	29	0	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
A VASSOURA SEM	29	1	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
A NECESSIDADE DE RECOLHER	29	2	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
O LIXO.	29	3	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
E É POTENTE.	29	4	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
GOSTEI.	29	5	0	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
28	29	-1	1	REALMENTE SUBSTITUI A VASSOURA SEM A NECESSIDADE DE RECOLHER O LIXO . E É POTENTE . GOSTEI .
Demorou muito para chegar, a entrega foi já no limite do prazo!	30	0	0	Demorou muito para chegar , a entrega foi já no limite do prazo ! E o celular já veio com um pequeno arranhão :(
E o celular já veio com um pequeno arranhão :(	30	1	0	Demorou muito para chegar , a entrega foi já no limite do prazo ! E o celular já veio com um pequeno arranhão :(
29	30	-1	1	Demorou muito para chegar , a entrega foi já no limite do prazo ! E o celular já veio com um pequeno arranhão :(
Estou bastante satisfeita com a linha COSMOS da Tramontina, pois oferece ótima qualidade e design minimalista em sua linha de produtos, ideal para deixar a mesa elegante com praticidade.	31	0	0	Estou bastante satisfeita com a linha COSMOS da Tramontina , pois oferece ótima qualidade e design minimalista em sua linha de produtos , ideal para deixar a mesa elegante com praticidade .
30	31	-1	1	Estou bastante satisfeita com a linha COSMOS da Tramontina , pois oferece ótima qualidade e design minimalista em sua linha de produtos , ideal para deixar a mesa elegante com praticidade .
Meu filho amou.	32	0	0	Meu filho amou . O Único problema é que ele é leve e o meu filho arrasta ele .
O Único problema é que ele é leve e o meu filho arrasta ele.	32	1	0	Meu filho amou . O Único problema é que ele é leve e o meu filho arrasta ele .
31	32	-1	1	Meu filho amou . O Único problema é que ele é leve e o meu filho arrasta ele .
